,author_type,floor,floors_count,rooms_count,total_meters,price,lat,lon
284,developer,17.0,20.0,4.0,80.83,37654574,55.706447,37.65209268108206
285,real_estate_agent,4.0,19.0,3.0,82.2,40000000,55.717886,37.6603019
286,developer,20.0,20.0,4.0,136.47,90203531,55.706447,37.65209268108206
287,developer,20.0,28.0,1.0,24.3,13766241,55.707253,37.643517
288,developer,11.0,14.0,1.0,21.5,15495286,55.6987759,37.63075230152488
289,real_estate_agent,5.0,19.0,2.0,75.0,35500000,55.717886,37.6603019
290,real_estate_agent,4.0,18.0,3.0,77.0,38000000,55.717886,37.6603019
291,representative_developer,22.0,32.0,1.0,17.2,8802000,55.6946059,37.727363
292,homeowner,15.0,40.0,1.0,44.98,22500000,55.6986947,37.6397278
293,developer,11.0,15.0,2.0,62.1,23919757,55.7010917,37.6420665
294,real_estate_agent,8.0,8.0,4.0,185.0,70000000,55.7124791,37.6444538
295,developer,2.0,16.0,1.0,52.34,21469868,55.7048888,37.653208
296,real_estate_agent,5.0,16.0,1.0,35.2,17900000,55.697185000000005,37.63355765111619
297,developer,10.0,15.0,3.0,113.5,58728078,55.6987759,37.63075230152488
298,realtor,5.0,15.0,2.0,55.0,28500000,55.6872317,37.6532428
299,developer,6.0,16.0,1.0,46.12,19218204,55.7048888,37.653208
300,realtor,18.0,40.0,3.0,86.4,36999000,55.6986947,37.6397278
301,developer,18.0,22.0,2.0,59.3,37950043,55.6986947,37.6397278
302,developer,9.0,15.0,3.0,106.6,55072544,55.6987759,37.63075230152488
303,real_estate_agent,4.0,8.0,2.0,43.0,23200000,55.70110835,37.661447400774136
304,developer,27.0,27.0,2.0,68.77,34856322,55.7178546,37.6530453
305,unknown,6.0,6.0,3.0,69.0,31400000,55.7119271,37.666691
306,developer,10.0,16.0,1.0,40.49,18459391,55.7048888,37.653208
307,real_estate_agent,4.0,17.0,2.0,68.0,22900000,55.70429595,37.66665983037717
308,developer,6.0,10.0,1.0,52.72,21499216,55.7048888,37.653208
309,real_estate_agent,2.0,29.0,3.0,106.7,84500000,55.7178546,37.6530453
310,developer,13.0,16.0,2.0,61.72,26619836,55.7048888,37.653208
311,realtor,7.0,35.0,1.0,25.2,13700000,55.6947603,37.6567152
312,developer,3.0,16.0,1.0,36.57,15637332,55.7048888,37.653208
313,realtor,24.0,29.0,2.0,72.0,43000000,55.7178546,37.6530453
314,developer,15.0,16.0,2.0,93.28,35922128,55.7048888,37.653208
315,real_estate_agent,12.0,29.0,2.0,71.7,33500000,55.7178546,37.6530453
316,real_estate_agent,3.0,5.0,2.0,57.0,25000000,55.7150049,37.6604496
317,developer,16.0,16.0,2.0,70.28,39500322,55.7178546,37.6530453
318,real_estate_agent,2.0,16.0,1.0,37.4,16300000,55.700588,37.6362054
319,developer,5.0,16.0,2.0,64.3,29666798,55.697156,37.634997
320,unknown,2.0,28.0,4.0,96.0,30000000,55.6938917,37.6303564
321,developer,5.0,13.0,2.0,50.3,12995517,55.6946059,37.727363
322,real_estate_agent,12.0,20.0,2.0,63.0,37000000,55.698875599999994,37.638616642730724
323,developer,4.0,15.0,1.0,40.1,22181395,55.6987759,37.63075230152488
324,developer,12.0,13.0,2.0,36.1,9464079,55.6946059,37.727363
325,real_estate_agent,2.0,29.0,1.0,39.2,20900000,55.7176194,37.6637065
326,developer,16.0,23.0,2.0,48.0,11820892,55.6946059,37.727363
327,real_estate_agent,13.0,14.0,3.0,90.9,45500000,55.7178546,37.6530453
328,developer,11.0,16.0,2.0,113.05,40426680,55.7048888,37.653208
329,real_estate_agent,17.0,28.0,2.0,74.6,34400000,55.6938917,37.6303564
330,developer,12.0,15.0,1.0,48.7,21697690,55.7010917,37.6420665
331,realtor,3.0,9.0,2.0,56.3,15600000,55.6795416,37.6664811
332,developer,14.0,40.0,1.0,43.6,24805478,55.6986947,37.6397278
333,realtor,13.0,19.0,1.0,39.0,15900000,55.706447,37.65209268108206
334,developer,13.0,23.0,3.0,56.3,14136013,55.6946059,37.727363
335,real_estate_agent,4.0,9.0,2.0,42.1,15500000,55.70210515,37.675621490097626
336,developer,9.0,20.0,3.0,90.8,36116128,55.706447,37.65209268108206
337,developer,8.0,13.0,1.0,28.7,8976090,55.6946059,37.727363
338,real_estate_agent,3.0,9.0,1.0,36.0,14000000,55.7131672,37.660386458167665
339,developer,21.0,21.0,2.0,68.44,40102619,55.7178546,37.6530453
