,author_type,url,floor,floors_count,rooms_count,total_meters,price,district,lat,lon
27558,developer,https://www.cian.ru/sale/flat/300085633/,2.0,24.0,3.0,107.6,47318292,Нагатинский затон,55.68363625,37.70052543619818
27559,homeowner,https://www.cian.ru/sale/flat/296922118/,13.0,15.0,1.0,44.0,26299000,Нагатинский затон,55.68383,37.6989117
27560,developer,https://www.cian.ru/sale/flat/299905774/,2.0,6.0,3.0,99.5,51417915,Нагатинский затон,55.6657173,37.6596192
27561,realtor,https://www.cian.ru/sale/flat/298624075/,1.0,9.0,3.0,59.1,17000000,Нагатинский затон,55.68453475,37.6712928
27564,developer,https://www.cian.ru/sale/flat/299864409/,6.0,35.0,2.0,64.4,28175155,Даниловский,55.707253,37.643517
27565,real_estate_agent,https://www.cian.ru/sale/flat/298504680/,14.0,24.0,3.0,59.2,25500000,Донской,55.705227,37.601639
27566,developer,https://www.cian.ru/sale/flat/299971237/,6.0,6.0,4.0,144.2,104514802,Нагатинский затон,55.6657173,37.6596192
27567,real_estate_agent,https://www.cian.ru/sale/flat/294168433/,8.0,13.0,4.0,95.0,38999000,Даниловский,55.6910117,37.6564254597886
27568,developer,https://www.cian.ru/sale/flat/299991832/,6.0,6.0,4.0,111.7,67670898,Нагатинский затон,55.6657173,37.6596192
27569,real_estate_agent,https://www.cian.ru/sale/flat/299942175/,9.0,16.0,1.0,52.0,22000000,Нагатино-Садовники,55.6829596,37.6460118
27570,developer,https://www.cian.ru/sale/flat/299971235/,5.0,6.0,3.0,98.5,58971299,Нагатинский затон,55.6657173,37.6596192
