,floor,floors_count,rooms_count,total_meters,price,lat,lon,author_type_homeowner,author_type_official_representative,author_type_real_estate_agent,author_type_realtor,author_type_representative_developer,district_quality,quality_price
151,0.0,23.0,1.0,38.0,16700000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,17152843.721673805
152,0.0,28.0,1.0,25.0,13000000,55.7516085,37.6992828,False,False,False,True,False,506086.02613571676,12652150.653392918
153,0.0,8.0,4.0,105.0,26800000,55.7593651,37.7593466,True,False,False,False,False,278832.3931736089,29277401.283228938
154,0.0,9.0,3.0,51.3,14700000,55.7448958,37.70545212360704,False,False,False,False,False,335827.74008298066,17227963.066256907
155,0.0,28.0,1.0,24.6,11500000,55.75081925,37.706651667974654,True,False,False,False,False,425667.83662584535,10471428.780995796
156,0.0,8.0,3.0,84.0,19000000,55.7593651,37.7593466,False,False,False,False,False,278832.3931736089,23421921.02658315
157,0.0,28.0,2.0,72.0,46500000,55.7516085,37.6992828,True,False,False,False,False,506086.02613571676,36438193.88177161
158,0.0,17.0,2.0,63.6,35000000,55.7523091,37.6992687,False,False,True,False,False,516754.04999947705,32865557.579966743
159,0.0,23.0,1.0,24.2,11750000,55.75302835,37.70907553983773,False,False,False,True,False,413624.31232688454,10009708.358310606
160,0.0,23.0,3.0,89.0,37500000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,40173765.558657065
161,0.0,26.0,1.0,30.1,16900000,55.755748,37.7054757,True,False,False,False,False,453006.7470583439,13635503.086456152
162,0.0,33.0,1.0,35.7,16400000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,16114645.285888284
164,0.0,27.0,2.0,58.7,30800000,55.7519627,37.7020754,True,False,False,False,False,482535.1687160086,28324814.403629705
165,0.0,21.0,2.0,59.0,31000000,55.7456706,37.704944,True,False,False,False,False,329798.6573330014,19458120.78264708
166,0.0,20.0,3.0,75.6,44000000,55.7516085,37.6992828,True,False,False,False,False,506086.02613571676,38260103.57586019
167,0.0,9.0,3.0,57.4,20000000,55.7448958,37.70545212360704,True,False,False,False,False,335827.74008298066,19276512.28076309
168,0.0,23.0,1.0,27.9,12800000,55.7585445,37.685285,True,False,False,False,False,451390.6242545738,12593798.416702608
169,0.0,28.0,2.0,50.0,29400000,55.7516085,37.6992828,True,False,False,False,False,506086.02613571676,25304301.306785837
170,0.0,23.0,3.0,84.8,31500000,55.75081925,37.706651667974654,False,False,False,True,False,425667.83662584535,36096632.54587168
171,0.0,14.0,3.0,87.0,21500000,55.7453464,37.70236578673334,True,False,False,False,False,329798.6573330014,28692483.18797112
172,0.0,27.0,2.0,38.3,16700000,55.7511034,37.70492647153816,True,False,False,False,False,433585.89749954594,16606339.874232609
173,0.0,33.0,3.0,80.0,29900000,55.7598466,37.7382543,True,False,False,False,False,392378.1224818695,31390249.79854956
175,0.0,16.0,1.0,32.5,18700000,55.7509638,37.6992843,True,False,False,False,False,506086.02613571676,16447795.849410795
176,0.0,23.0,2.0,48.0,21500000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,21666749.96421954
